108,,Psicología Evolutiva,4,0,Psicología Evolutiva,Psicología Evolutiva,Psicología Evolutiva,Psicología Evolutiva,,,1
109,,Salud,4,0,Salud,Salud,Salud,Salud,,,1
110,,Educación de Adultos,4,0,Educación de Adultos,Educación de Adultos,Educación de Adultos,Educación de Adultos,,,1
111,,Globalización,5,0,Globalización,Globalización,Globalización,Globalización,,,1
112,,Filosofía Política,5,0,Filosofía Política,Filosofía Política,Filosofía Política,Filosofía Política,,,1
113,,Ecología Política,6,0,Ecología Política,Ecología Política,Ecología Política,Ecología Política,,,1
114,,Sociología Política,5,0,Sociología Política,Sociología Política,Sociología Política,Sociología Política,,,1
115,,Sociología,7,0,Sociología,Sociología,Sociología,Sociología,,,1
116,,Política Exterior,5,0,Política Exterior,Política Exterior,Política Exterior,Política Exterior,,,1
117,,Comunicación,13,0,Comunicación,Comunicación,Comunicación,Comunicación,,,1
118,,Historia,13,0,Historia,Historia,Historia,Historia,,,1
119,,Género,13,0,Género,Género,Género,Género,,,1
120,,Administración,13,0,Administración,Administración,Administración,Administración,,,1
121,,Geometría,12,0,Geometría,Geometría,Geometría,Geometría,,,1
122,,Derecho de Familia,1,0,Derecho de Familia,Derecho de Familia,Derecho de Familia,Derecho de Familia,,,1
123,,Economía,13,0,Economía,Economía,Economía,Economía,,,1
124,,Antropología,13,0,Antropología,Antropología,Antropología,Antropología,,,1
125,,Sociología,13,0,Sociología,Sociología,Sociología,Sociología,,,1
126,,Semiótica,2,0,Semiótica,Semiótica,Semiótica,Semiótica,,,1
127,,Veterinaria,8,0,Veterinaria,Veterinaria,Veterinaria,Veterinaria,,,1
128,,Narrativa,9,0,Narrativa,Narrativa,Narrativa,Narrativa,,,1
129,,Humanismo,2,0,Humanismo,Humanismo,Humanismo,Humanismo,,,1
130,,Psicología,13,0,Psicología,Psicología,Psicología,Psicología,,,1
131,,Psicoanálisis,13,0,Psicoanálisis,Psicoanálisis,Psicoanálisis,Psicoanálisis,,,1
132,,Psicología Educativa,4,0,Psicología Educativa,Psicología Educativa,Psicología Educativa,Psicología Educativa,,,1
133,,Política Educativa,4,0,Política Educativa,Política Educativa,Política Educativa,Política Educativa,,,1
134,,Historia de la Educación,4,0,Historia de la Educación,Historia de la Educación,Historia de la Educación,Historia de la Educación,,,1
135,,Poesía,4,0,Poesía,Poesía,Poesía,Poesía,,,1
136,,Linguística,13,0,Linguística,Linguística,Linguística,Linguística,,,1
137,,Filosofía de la Educación,4,0,Filosofía de la Educación,Filosofía de la Educación,Filosofía de la Educación,Filosofía de la Educación,,,1
138,,Filosofia de la Religión,11,0,Filosofia de la Religión,Filosofia de la Religión,Filosofia de la Religión,Filosofia de la Religión,,,1
139,,Política de Paz,5,0,Política de Paz,Política de Paz,Política de Paz,Política de Paz,,,1
140,,Estética,13,0,Estética,Estética,Estética,Estética,,,1
141,,Geografía,13,0,Geografía,Geografía,Geografía,Geografía,,,1
142,,Derecho Financiero,1,0,Derecho Financiero,Derecho Financiero,Derecho Financiero,Derecho Financiero,,,1
143,,Derecho Mercantil,1,0,Derecho Mercantil,Derecho Mercantil,Derecho Mercantil,Derecho Mercantil,,,1
144,,Política,13,0,Política,Política,Política,Política,,,1
145,,Educación Artística,4,0,Educación Artística,Educación Artística,Educación Artística,Educación Artística,,,1
146,,Educación Musical,4,0,Educación Musical,Educación Musical,Educación Musical,Educación Musical,,,1
147,,Sociología de la Educación,4,0,Sociología de la Educación,Sociología de la Educación,Sociología de la Educación,Sociología de la Educación,,,1
148,,Didáctica del Lenguaje,4,0,Didáctica del Lenguaje,Didáctica del Lenguaje,Didáctica del Lenguaje,Didáctica del Lenguaje,,,1
149,,Educación Ambiental,4,0,Educación Ambiental,Educación Ambiental,Educación Ambiental,Educación Ambiental,,,1
150,,Metodología del Estudio,4,0,Metodología del Estudio,Metodología del Estudio,Metodología del Estudio,Metodología del Estudio,,,1
151,,Educación y Medios,4,0,Educación y Medios,Educación y Medios,Educación y Medios,Educación y Medios,,,1
152,,Filosofía del Derecho,2,0,Filosofía del Derecho,Filosofía del Derecho,Filosofía del Derecho,Filosofía del Derecho,,,1
153,,Geología,12,0,Geología,Geología,Geología,Geología,,,1
154,,Investigacion,6,0,Investigacion,Investigacion,Investigacion,Investigacion,,,1
155,,Metodología,13,0,Metodología,Metodología,Metodología,Metodología,,,1
156,,Neurología,8,0,Neurología,Neurología,Neurología,Neurología,,,1
157,,Política y Cultura,5,0,Política y Cultura,Política y Cultura,Política y Cultura,Política y Cultura,,,1
158,,Educación Universitaria,4,0,Educación Universitaria,Educación Universitaria,Educación Universitaria,Educación Universitaria,,,1
159,,Teoría Jurídica,1,0,Teoría Jurídica,Teoría Jurídica,Teoría Jurídica,Teoría Jurídica,,,1
160,,Ética,2,0,Ética,Ética,Ética,Ética,,,1
161,,Oncología,8,0,Oncología,Oncología,Oncología,Oncología,,,1
162,,Educación en Salud,4,0,Educación en Salud,Educación en Salud,Educación en Salud,Educación en Salud,,,1
163,,Educación en Informática,4,0,Educación en Informática,Educación en Informática,Educación en Informática,Educación en Informática,,,1
164,,Educación Cooperativa,4,0,Educación Cooperativa,Educación Cooperativa,Educación Cooperativa,Educación Cooperativa,,,1
165,,Género Testimonio,7,0,Género Testimonio,Género Testimonio,Género Testimonio,Género Testimonio,,,1
166,,Género Comunicación,7,0,Género Comunicación,Género Comunicación,Género Comunicación,Género Comunicación,,,1
167,,Género Literatura,7,0,Género Literatura,Género Literatura,Género Literatura,Género Literatura,,,1
168,,Género Economía,7,0,Género Economía,Género Economía,Género Economía,Género Economía,,,1
169,,Género Política,7,0,Género Política,Género Política,Género Política,Género Política,,,1
170,,Género Educación,7,0,Género Educación,Género Educación,Género Educación,Género Educación,,,1
171,,Género Psicología,7,0,Género Psicología,Género Psicología,Género Psicología,Género Psicología,,,1
172,,Fenomenología,2,0,Fenomenología,Fenomenología,Fenomenología,Fenomenología,,,1
173,,Género Historia,7,0,Género Historia,Género Historia,Género Historia,Género Historia,,,1
174,,Género Filosofía,7,0,Género Filosofía,Género Filosofía,Género Filosofía,Género Filosofía,,,1
175,,Antropología Filosófica,2,0,Antropología Filosófica,Antropología Filosófica,Antropología Filosófica,Antropología Filosófica,,,1
176,,Literatura – Linguística,14,0,Literatura – Linguística,Literatura – Linguística,Literatura – Linguística,Literatura – Linguística,,,1
177,,Música - Teatro - Danza,14,0,Música - Teatro - Danza,Música - Teatro - Danza,Música - Teatro - Danza,Música - Teatro - Danza,,,1
178,,Pensamiento y Cultura,14,0,Pensamiento y Cultura,Pensamiento y Cultura,Pensamiento y Cultura,Pensamiento y Cultura,,,1
179,,Política,14,0,Política,Política,Política,Política,,,1
180,,Psicología - Psicoanálisis - Psiquiatría,14,0,Psicología - Psicoanálisis - Psiquiatría,Psicología - Psicoanálisis - Psiquiatría,Psicología - Psicoanálisis - Psiquiatría,Psicología - Psicoanálisis - Psiquiatría,,,1
181,,Legislación Informática,1,0,Legislación Informática,Legislación Informática,Legislación Informática,Legislación Informática,,,1
182,,Derecho Disciplinario,1,0,Derecho Disciplinario,Derecho Disciplinario,Derecho Disciplinario,Derecho Disciplinario,,,1
183,,Informática,12,0,Informática,Informática,Informática,Informática,,,1
184,,Derecho Arbitral,1,0,Derecho Arbitral,Derecho Arbitral,Derecho Arbitral,Derecho Arbitral,,,1
185,,Ingeniería Civil,15,0,Ingeniería Civil,Ingeniería Civil,Ingeniería Civil,Ingeniería Civil,,,1
186,,Educación Infantil,4,0,Educación Infantil,Educación Infantil,Educación Infantil,Educación Infantil,,,1
187,,Oftalmología y Optometría,8,0,Oftalmología y Optometría,Oftalmología y Optometría,Oftalmología y Optometría,Oftalmología y Optometría,,,1
188,,Anatomía,8,0,Anatomía,Anatomía,Anatomía,Anatomía,,,1
189,,Evaluación,4,0,Evaluación,Evaluación,Evaluación,Evaluación,,,1
190,,Educación Rural,4,0,Educación Rural,Educación Rural,Educación Rural,Educación Rural,,,1
191,,Farmacología,8,0,Farmacología,Farmacología,Farmacología,Farmacología,,,1
192,,Filosofía Analítica,2,0,Filosofía Analítica,Filosofía Analítica,Filosofía Analítica,Filosofía Analítica,,,1
193,,Historia,16,0,Historia,Historia,Historia,Historia,,,1
194,,Sociología,16,0,Sociología,Sociología,Sociología,Sociología,,,1
195,,Política,16,0,Política,Política,Política,Política,,,1
196,,Derechos Humanos,14,0,Derechos Humanos,Derechos Humanos,Derechos Humanos,Derechos Humanos,,,1
197,,Educación en Valores,4,0,Educación en Valores,Educación en Valores,Educación en Valores,Educación en Valores,,,1
198,,Medicina,14,0,Medicina,Medicina,Medicina,Medicina,,,1
199,,Filosofía y Literatura,2,0,Filosofía y Literatura,Filosofía y Literatura,Filosofía y Literatura,Filosofía y Literatura,,,1
200,,Ingeniería Electrónica,15,0,Ingeniería Electrónica,Ingeniería Electrónica,Ingeniería Electrónica,Ingeniería Electrónica,,,1
201,,Cirugía,8,0,Cirugía,Cirugía,Cirugía,Cirugía,,,1
202,,Capacitación,4,0,Capacitación,Capacitación,Capacitación,Capacitación,,,1
203,,Educación en Ciencia,4,0,Educación en Ciencia,Educación en Ciencia,Educación en Ciencia,Educación en Ciencia,,,1
204,,Textos Escolares,4,0,Textos Escolares,Textos Escolares,Textos Escolares,Textos Escolares,,,1
205,,Derecho de Internet,1,0,Derecho de Internet,Derecho de Internet,Derecho de Internet,Derecho de Internet,,,1
206,,Neumología,8,0,Neumología,Neumología,Neumología,Neumología,,,1
207,,Epidemiología,8,0,Epidemiología,Epidemiología,Epidemiología,Epidemiología,,,1
208,,Obstetricia,8,0,Obstetricia,Obstetricia,Obstetricia,Obstetricia,,,1
209,,Pediatría,8,0,Pediatría,Pediatría,Pediatría,Pediatría,,,1
210,,Derecho,7,0,Derecho,Derecho,Derecho,Derecho,,,1
211,,Educación Física,4,0,Educación Física,Educación Física,Educación Física,Educación Física,,,1
212,,Ciencias Básicas,14,0,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,Ciencias Básicas,,,1
213,,Bioingeniería,15,0,Bioingeniería,Bioingeniería,Bioingeniería,Bioingeniería,,,1
214,,Ingeniería Ambiental,15,0,Ingeniería Ambiental,Ingeniería Ambiental,Ingeniería Ambiental,Ingeniería Ambiental,,,1
215,,Derecho De Las Telecomunicaciones,1,0,Derecho De Las Telecomunicaciones,Derecho De Las Telecomunicaciones,Derecho De Las Telecomunicaciones,Derecho De Las Telecomunicaciones,,,1
216,,Fisioterapia,8,0,Fisioterapia,Fisioterapia,Fisioterapia,Fisioterapia,,,1
217,,Derecho Registral,1,0,Derecho Registral,Derecho Registral,Derecho Registral,Derecho Registral,,,1
218,,Ingeniería Mecánica,15,0,Ingeniería Mecánica,Ingeniería Mecánica,Ingeniería Mecánica,Ingeniería Mecánica,,,1
219,,Ingeniería,14,0,Ingeniería,Ingeniería,Ingeniería,Ingeniería,,,1
220,,Ingeniería De Sistemas,15,0,Ingeniería De Sistemas,Ingeniería De Sistemas,Ingeniería De Sistemas,Ingeniería De Sistemas,,,1
221,,Ingeniería Industrial,15,0,Ingeniería Industrial,Ingeniería Industrial,Ingeniería Industrial,Ingeniería Industrial,,,1
222,,Ingeniería Hidráulica,15,0,Ingeniería Hidráulica,Ingeniería Hidráulica,Ingeniería Hidráulica,Ingeniería Hidráulica,,,1
223,,Derecho Alternativo,1,0,Derecho Alternativo,Derecho Alternativo,Derecho Alternativo,Derecho Alternativo,,,1
224,,Derecho Urbanístico,1,0,Derecho Urbanístico,Derecho Urbanístico,Derecho Urbanístico,Derecho Urbanístico,,,1
225,,Ingeniería Agrícola,15,0,Ingeniería Agrícola,Ingeniería Agrícola,Ingeniería Agrícola,Ingeniería Agrícola,,,1
226,,Cardiología,8,0,Cardiología,Cardiología,Cardiología,Cardiología,,,1
227,,Psiquiatría,8,0,Psiquiatría,Psiquiatría,Psiquiatría,Psiquiatría,,,1
228,,Filosofía Del Lenguaje,2,0,Filosofía Del Lenguaje,Filosofía Del Lenguaje,Filosofía Del Lenguaje,Filosofía Del Lenguaje,,,1
229,,Sin Clasificar,,1,Sin Clasificar,Sin Clasificar,Sin Clasificar,Sin Clasificar,,,1
